Latitude,Longitude,Region
31.08,-66.49,1.0
31.26,-66.5,1.0
31.62,-66.5,1.0
30.73,-66.5,1.0
30.63,-66.6,1.0
30.54,-66.5,1.0
30.17,-66.5,1.0
30.72,-66.71,1.0
30.18,-68.58,1.0
30.18,-68.68,1.0
30.18,-69.41,1.0
30.18,-68.99,1.0
30.18,-68.79,1.0
30.18,-68.58,1.0
30.18,-68.37,1.0
30.18,-68.16,1.0
30.18,-67.74,1.0
30.0,-68.79,1.0
30.09,-68.68,1.0
29.95,-68.98,1.0
29.82,-68.99,1.0
30.0,-68.99,1.0
29.91,-69.2,1.0
30.01,-69.2,1.0
29.88,-68.88,1.0
-53.03,-174.7,5.0
-56.84,-170.2,5.0
-58.5,-170.0,5.0
-60.23,-170.1,5.0
-60.23,-170.1,5.0
-60.92,-169.2,5.0
-61.67,-168.8,5.0
-64.15,-169.2,5.0
-64.74,-169.5,5.0
-63.09,-169.9,5.0
-62.4,-169.8,5.0
-55.67,-171.8,5.0
-54.33,-173.3,5.0
-52.95,-174.7,5.0
-67.78,-170.1,5.0
-64.83,-170.1,5.0
-62.0,-170.1,5.0
-60.0,-170.1,5.0
-61.0,-170.1,5.0
-65.17,-170.1,5.0
-56.85,-170.2,5.0
-58.5,-170.0,5.0
-60.23,-170.1,5.0
-60.92,-170.0,5.0
-61.67,-170.0,5.0
-63.08,-169.9,5.0
-64.7,-169.3,5.0
-66.1,-168.7,5.0
-66.1,-168.7,5.0
-66.1,-168.7,5.0
-67.5,-170.0,5.0
-69.08,-168.5,5.0
-70.4,-165.9,5.0
-70.4,-165.9,5.0
-71.32,-166.0,5.0
-69.3,-168.4,5.0
-69.3,-168.4,5.0
-67.5,-170.0,5.0
-66.1,-169.7,5.0
-64.7,-169.3,5.0
-63.08,-169.9,5.0
-61.67,-170.1,5.0
-61.25,-170.1,5.0
-61.04,-170.1,5.0
-60.8,-170.1,5.0
-60.23,-170.1,5.0
-58.5,-170.0,5.0
-56.85,-170.2,5.0
-54.33,-173.3,5.0
-76.5,-178.0,5.0
-76.5,-178.0,5.0
-76.5,178.0,5.0
-76.5,176.0,5.0
-76.5,174.0,5.0
-76.5,172.0,5.0
-76.5,170.0,5.0
-76.56,169.1,5.0
-76.51,-177.9,5.0
-78.02,-175.9,0.0
-76.49,-178.0,5.0
-76.51,175.9,5.0
